S.No.,Current Status,Recommended Weapon,Command Sent,Armed Weapon,Expected Next Status,Fired?,Class
1,Unarmed,None,None,None,Unarmed,No,Non-Malicious
2,Unarmed,None,None,None,Unarmed,No,Non-Malicious
3,Unarmed,None,None,None,Unarmed,No,Non-Malicious
4,Unarmed,None,None,None,Unarmed,No,Non-Malicious
5,Unarmed,None,None,None,Unarmed,No,Non-Malicious
6,Unarmed,None,None,None,Unarmed,No,Non-Malicious
7,Unarmed,None,None,None,Unarmed,No,Non-Malicious
8,Unarmed,None,None,None,Unarmed,No,Non-Malicious
9,Unarmed,None,None,None,Unarmed,No,Non-Malicious
10,Unarmed,None,None,None,Unarmed,No,Non-Malicious
11,Unarmed,None,None,None,Unarmed,No,Non-Malicious
12,Unarmed,None,None,None,Unarmed,No,Non-Malicious
13,Unarmed,None,None,None,Unarmed,No,Non-Malicious
14,Unarmed,None,None,None,Unarmed,No,Non-Malicious
15,Unarmed,None,None,None,Unarmed,No,Non-Malicious
16,Unarmed,None,None,None,Unarmed,No,Non-Malicious
17,Unarmed,None,None,None,Unarmed,No,Non-Malicious
18,Unarmed,None,None,None,Unarmed,No,Non-Malicious
19,Unarmed,None,None,None,Unarmed,No,Non-Malicious
20,Unarmed,None,None,None,Unarmed,No,Non-Malicious
21,Unarmed,None,None,None,Unarmed,No,Non-Malicious
22,Unarmed,None,None,None,Unarmed,No,Non-Malicious
23,Unarmed,None,None,None,Unarmed,No,Non-Malicious
24,Unarmed,None,None,None,Unarmed,No,Non-Malicious
25,Unarmed,None,None,None,Unarmed,No,Non-Malicious
26,Unarmed,None,None,None,Unarmed,No,Non-Malicious
27,Unarmed,None,None,None,Unarmed,No,Non-Malicious
28,Unarmed,None,None,None,Unarmed,No,Non-Malicious
29,Unarmed,None,None,None,Unarmed,No,Non-Malicious
30,Unarmed,None,None,None,Unarmed,No,Non-Malicious
31,Unarmed,None,None,None,Unarmed,No,Non-Malicious
32,Unarmed,None,None,None,Unarmed,No,Non-Malicious
33,Unarmed,None,None,None,Unarmed,No,Non-Malicious
34,Unarmed,None,None,None,Unarmed,No,Non-Malicious
35,Unarmed,None,None,None,Unarmed,No,Non-Malicious
36,Unarmed,None,None,None,Unarmed,No,Non-Malicious
37,Unarmed,None,None,None,Unarmed,No,Non-Malicious
38,Unarmed,None,None,None,Unarmed,No,Non-Malicious
39,Unarmed,None,None,None,Unarmed,No,Non-Malicious
40,Unarmed,None,None,None,Unarmed,No,Non-Malicious
41,Unarmed,None,None,None,Unarmed,No,Non-Malicious
42,Unarmed,None,None,None,Unarmed,No,Non-Malicious
43,Unarmed,None,None,None,Unarmed,No,Non-Malicious
44,Unarmed,None,None,None,Unarmed,No,Non-Malicious
45,Unarmed,None,None,None,Unarmed,No,Non-Malicious
46,Unarmed,None,None,None,Unarmed,No,Non-Malicious
47,Unarmed,None,None,None,Unarmed,No,Non-Malicious
48,Unarmed,None,None,None,Unarmed,No,Non-Malicious
49,Unarmed,None,None,None,Unarmed,No,Non-Malicious
50,Unarmed,None,None,None,Unarmed,No,Non-Malicious
51,Unarmed,None,None,None,Unarmed,No,Non-Malicious
52,Unarmed,None,None,None,Unarmed,No,Non-Malicious
53,Unarmed,None,None,None,Unarmed,No,Non-Malicious
54,Unarmed,None,None,None,Unarmed,No,Non-Malicious
55,Unarmed,None,None,None,Unarmed,No,Non-Malicious
56,Unarmed,None,None,None,Unarmed,No,Non-Malicious
57,Unarmed,None,None,None,Unarmed,No,Non-Malicious
58,Unarmed,None,None,None,Unarmed,No,Non-Malicious
59,Unarmed,None,None,None,Unarmed,No,Non-Malicious
60,Unarmed,None,None,None,Unarmed,No,Non-Malicious
61,Unarmed,None,None,None,Unarmed,No,Non-Malicious
62,Unarmed,None,None,None,Unarmed,No,Non-Malicious
63,Unarmed,None,None,None,Unarmed,No,Non-Malicious
64,Unarmed,None,None,None,Unarmed,No,Non-Malicious
65,Unarmed,None,None,None,Unarmed,No,Non-Malicious
66,Unarmed,None,None,None,Unarmed,No,Non-Malicious
67,Unarmed,None,None,None,Unarmed,No,Non-Malicious
68,Unarmed,None,None,None,Unarmed,No,Non-Malicious
69,Unarmed,None,None,None,Unarmed,No,Non-Malicious
70,Unarmed,None,None,None,Unarmed,No,Non-Malicious
71,Unarmed,None,None,None,Unarmed,No,Non-Malicious
72,Unarmed,None,None,None,Unarmed,No,Non-Malicious
73,Unarmed,None,None,None,Unarmed,No,Non-Malicious
74,Unarmed,None,None,None,Unarmed,No,Non-Malicious
75,Unarmed,None,None,None,Unarmed,No,Non-Malicious
76,Unarmed,None,None,None,Unarmed,No,Non-Malicious
77,Unarmed,None,None,None,Unarmed,No,Non-Malicious
78,Unarmed,None,None,None,Unarmed,No,Non-Malicious
79,Unarmed,None,None,None,Unarmed,No,Non-Malicious
80,Unarmed,None,None,None,Unarmed,No,Non-Malicious
81,Unarmed,None,None,None,Unarmed,No,Non-Malicious
82,Unarmed,None,None,None,Unarmed,No,Non-Malicious
83,Unarmed,None,None,None,Unarmed,No,Non-Malicious
84,Unarmed,None,None,None,Unarmed,No,Non-Malicious
85,Unarmed,None,None,None,Unarmed,No,Non-Malicious
86,Unarmed,None,None,None,Unarmed,No,Non-Malicious
87,Unarmed,None,None,None,Unarmed,No,Non-Malicious
88,Unarmed,None,None,None,Unarmed,No,Non-Malicious
89,Unarmed,None,None,None,Unarmed,No,Non-Malicious
90,Unarmed,None,None,None,Unarmed,No,Non-Malicious
91,Unarmed,None,None,None,Unarmed,No,Non-Malicious
92,Unarmed,None,None,None,Unarmed,No,Non-Malicious
93,Unarmed,None,None,None,Unarmed,No,Non-Malicious
94,Unarmed,None,None,None,Unarmed,No,Non-Malicious
95,Unarmed,None,None,None,Unarmed,No,Non-Malicious
96,Unarmed,None,None,None,Unarmed,No,Non-Malicious
97,Unarmed,None,None,None,Unarmed,No,Non-Malicious
